Title,Release Year,End Year,Rating,Cast,Runtime,Genre
Star Trek: The Next Generation,1987.0,1994.0,8.7,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",44 min,"Action, Adventure, Sci-Fi"
Night Court,1984.0,1992.0,7.7,"Harry Anderson, John Larroquette, Richard Moll, Charles Robinson",30 min,Comedy
La casa de papel,2017.0,2021.0,8.2,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",70 min,"Action, Crime, Drama"
Mad Men,2007.0,2015.0,8.7,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",47 min,Drama
The Expanse,2015.0,2022.0,8.5,"Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo",60 min,"Drama, Mystery, Sci-Fi"
Derry Girls,2018.0,2022.0,8.5,"Saoirse-Monica Jackson, Louisa Harland, Tara Lynne O'Neill, Kathy Kiera Clarke",30 min,Comedy
This Is Us,2016.0,2022.0,8.7,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",45 min,"Comedy, Drama, Romance"
Downton Abbey,2010.0,2015.0,8.7,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",58 min,"Drama, Romance"
Smallville,2001.0,2011.0,7.5,"Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk",60 min,"Action, Adventure, Drama"
The 100,2014.0,2020.0,7.6,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",43 min,"Drama, Mystery, Sci-Fi"
Banshee,2013.0,2016.0,8.4,"Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison",60 min,"Action, Crime, Drama"
Servant,2019.0,2023.0,7.5,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",30 min,"Drama, Horror, Mystery"
Prison Break,2005.0,2017.0,8.3,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",44 min,"Action, Crime, Drama"
Frasier,1993.0,2004.0,8.2,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin",22 min,Comedy
Warrior Nun,2020.0,2022.0,7,"Alba Baptista, Kristina Tonteri-Young, Lorena Andrea, Tristán Ulloa",****,"Action, Drama, Fantasy"
Person of Interest,2011.0,2016.0,8.5,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson",43 min,"Action, Crime, Drama"
Once Upon a Time,2011.0,2018.0,7.7,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",60 min,"Adventure, Fantasy, Romance"
Teen Wolf,2011.0,2017.0,7.7,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",41 min,"Action, Drama, Fantasy"
The Mentalist,2008.0,2015.0,8.1,"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman",43 min,"Crime, Drama, Mystery"
Cheers,1982.0,1993.0,7.9,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt",22 min,"Comedy, Drama"
Schitt's Creek,2015.0,2020.0,8.5,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy",22 min,Comedy
Homeland,2011.0,2020.0,8.3,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",55 min,"Crime, Drama, Mystery"
Gossip Girl,2007.0,2012.0,7.5,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",42 min,"Drama, Romance"
Psych,2006.0,2014.0,8.4,"James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen",44 min,"Comedy, Crime, Mystery"
Hawaii Five-0,2010.0,2020.0,7.4,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim",42 min,"Action, Crime, Drama"
Arrested Development,2003.0,2019.0,8.7,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",22 min,Comedy
Arrow,2012.0,2020.0,7.5,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",42 min,"Action, Adventure, Crime"
Mr. Robot,2015.0,2019.0,8.6,"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",49 min,"Crime, Drama, Thriller"
Doc Martin,2004.0,2022.0,8.4,"Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom",46 min,"Comedy, Drama, Romance"
Avatar: The Last Airbender,2005.0,2008.0,9.3,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena",23 min,"Animation, Action, Adventure"
BoJack Horseman,2014.0,2020.0,8.8,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",25 min,"Animation, Comedy, Drama"
See,2019.0,2022.0,7.6,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo",60 min,"Action, Drama, Sci-Fi"
Daredevil,2015.0,2018.0,8.6,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson",54 min,"Action, Crime, Drama"
Orange Is the New Black,2013.0,2019.0,8.1,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",59 min,"Comedy, Crime, Drama"
Scrubs,2001.0,2010.0,8.4,"Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley",22 min,"Comedy, Drama"
"Murder, She Wrote",1984.0,1996.0,7.1,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum",50 min,"Crime, Drama, Mystery"
Mindhunter,2017.0,2019.0,8.6,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",60 min,"Crime, Drama, Mystery"
Justified,2010.0,2015.0,8.6,"Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts",44 min,"Action, Crime, Drama"
The Addams Family,1964.0,1966.0,8,"John Astin, Carolyn Jones, Jackie Coogan, Ted Cassidy",30 min,"Comedy, Family, Horror"
CSI: Crime Scene Investigation,2000.0,2015.0,7.7,"William Petersen, Laurence Fishburne, Ted Danson, George Eads",60 min,"Crime, Drama, Mystery"
Star Trek: Picard,2020.0,2023.0,7.3,"Patrick Stewart, Alison Pill, Michelle Hurd, Santiago Cabrera",46 min,"Action, Adventure, Drama"
Waterloo Road,2006.0,2015.0,7.2,"Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch",53 min,"Drama, Romance"
Star Wars: The Clone Wars,2008.0,2020.0,8.4,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",23 min,"Animation, Action, Adventure"
Narcos,2015.0,2017.0,8.8,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",49 min,"Biography, Crime, Drama"
Twin Peaks,1990.0,1991.0,8.8,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",47 min,"Crime, Drama, Mystery"
Poirot,1989.0,2013.0,8.6,"David Suchet, Hugh Fraser, Philip Jackson, Pauline Moran",100 min,"Crime, Drama, Mystery"
Spartacus: Blood and Sand,2010.0,2013.0,8.5,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",55 min,"Action, Adventure, Biography"
M*A*S*H,1972.0,1983.0,8.4,"Alan Alda, Wayne Rogers, Loretta Swit, Jamie Farr",25 min,"Comedy, Drama, War"
Bosch,2014.0,2021.0,8.5,"Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",51 min,"Crime, Drama"
Chuck,2007.0,2012.0,8.2,"Zachary Levi, Yvonne Strahovski, Joshua Gomez, Vik Sahay",43 min,"Action, Comedy, Drama"
Star Trek: Deep Space Nine,1993.0,1999.0,8.1,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig",45 min,"Action, Adventure, Drama"
Superstore,2015.0,2021.0,7.8,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",22 min,Comedy
Monster,2004.0,2005.0,8.7,"Hidenobu Kiuchi, Liam O'Brien, Mamiko Noto, Karen Strassman",24 min,"Animation, Crime, Drama"
Line of Duty,2012.0,2021.0,8.7,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",60 min,"Crime, Drama, Mystery"
Pretty Little Liars,2010.0,2017.0,7.4,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",44 min,"Drama, Mystery, Romance"
